Lateral(mm),Vertical(mm),Raw(µm)
7.284840107,10,-279.6692896
7.29468441,10,-279.7319044
7.304528713,10,-279.2572696
7.314373493,10,-279.3419349
7.324217796,10,-279.1260116
7.334062099,10,-278.9656298
7.343906403,10,-278.8707029
7.353750706,10,NaN
7.363595009,10,NaN
7.373439312,10,NaN
7.383284092,10,-277.7137087
7.393128395,10,-278.0899066
7.402972698,10,-277.9253183
7.412817001,10,-278.4271746
7.422661304,10,NaN
7.432505608,10,NaN
7.442350388,10,NaN
7.452194691,10,NaN
7.462038994,10,NaN
7.471883297,10,NaN
7.4817276,10,NaN
7.491571903,10,NaN
7.501416683,10,NaN
7.511260986,10,NaN
7.521105289,10,NaN
7.530949593,10,NaN
7.540793896,10,NaN
7.550638199,10,NaN
7.560482979,10,NaN
7.570327282,10,NaN
7.580171585,10,NaN
7.590015888,10,NaN
7.599860191,10,NaN
7.609704494,10,NaN
7.619548798,10,NaN
7.629393578,10,NaN
7.639237881,10,NaN
7.649082184,10,NaN
7.658926487,10,NaN
7.66877079,10,NaN
7.678615093,10,NaN
7.688459873,10,NaN
7.698304176,10,NaN
7.708148479,10,NaN
7.717992783,10,NaN
7.727837086,10,NaN
7.737681389,10,NaN
7.747526169,10,NaN
7.757370472,10,NaN
7.767214775,10,NaN
7.777059078,10,NaN
7.786903381,10,NaN
7.796747684,10,NaN
7.806591988,10,NaN
7.816436768,10,NaN
7.826281071,10,NaN
7.836125374,10,NaN
7.845969677,10,NaN
7.85581398,10,-273.5813989
7.865658283,10,-273.6783889
7.875503063,10,-273.5441301
7.885347366,10,-273.6343148
7.895191669,10,-273.5920357
7.905035973,10,-273.7613127
7.914880276,10,-273.8382617
7.924724579,10,-274.0088247
7.934569359,10,NaN
7.944413662,10,-272.7082478
7.954257965,10,-272.8058809
7.964102268,10,-273.0129625
7.973946571,10,-273.4593309
7.983790874,10,-273.6641887
7.993635178,10,NaN
8.003479958,10,-272.2485099
8.013323784,10,-272.5664067
8.023168564,10,-272.7958068
8.033013344,10,-272.9050947
8.04285717,10,-271.8146806
8.05270195,10,-272.0826891
8.062545776,10,-272.2675864
8.072390556,10,NaN
8.082234383,10,-272.180349
8.092079163,10,NaN
8.101923943,10,NaN
8.111767769,10,NaN
8.121612549,10,-271.769106
8.131456375,10,NaN
8.141301155,10,-271.0924266
8.151144981,10,-271.4516379
8.160989761,10,-271.4867097
8.170834541,10,NaN
8.180678368,10,-270.6799244
8.190523148,10,-271.0664644
8.200366974,10,-271.0393501
8.210211754,10,-270.2938399
8.220056534,10,-270.617256
8.22990036,10,-270.0868922
8.23974514,10,-270.0276533
8.249588966,10,-270.015543
8.259433746,10,-270.0530261
8.269277573,10,-270.0693697
8.279122353,10,-269.8315031
8.288967133,10,NaN
8.298810959,10,-269.333505
8.308655739,10,-269.0946738
8.318499565,10,-268.8366322
8.328344345,10,NaN
8.338188171,10,-269.064907
8.348032951,10,-269.141213
8.357877731,10,-269.1850996
8.367721558,10,-269.6094978
8.377566338,10,-268.6330068
8.387410164,10,-268.7103577
8.397254944,10,-268.4792964
8.407099724,10,-268.599355
8.41694355,10,-268.6192889
8.42678833,10,-268.8429017
8.436632156,10,NaN
8.446476936,10,NaN
8.456320763,10,-267.5599009
8.466165543,10,-267.3007072
8.476010323,10,-267.2553202
8.485854149,10,-267.1813184
8.495698929,10,-267.2141664
8.505542755,10,-267.2854889
8.515387535,10,-267.3440044
8.525232315,10,-267.537261
8.535076141,10,-267.6839517
8.544920921,10,-266.8640647
8.554764748,10,-267.0006812
8.564609528,10,-266.7882946
8.574453354,10,-266.7413804
8.584298134,10,-266.5955203
8.594142914,10,-266.5420954
8.60398674,10,-266.5015311
8.61383152,10,-266.3573321
8.623675346,10,-266.3559389
8.633520126,10,NaN
8.643363953,10,NaN
8.653208733,10,-266.5661017
8.663053513,10,NaN
8.672897339,10,NaN
8.682742119,10,NaN
8.692585945,10,NaN
8.702430725,10,-265.2516729
8.712275505,10,-265.3003555
8.722119331,10,NaN
8.731964111,10,-264.7713581
8.741807938,10,-264.1344393
8.751652718,10,-264.5055734
8.761496544,10,-264.694302
8.771341324,10,-264.6492097
8.781186104,10,-264.5938825
8.79102993,10,-264.0709403
8.80087471,10,-264.5392252
8.810718536,10,NaN
8.820563316,10,-263.6210621
8.830407143,10,NaN
8.840251923,10,-264.521274
8.850096703,10,-263.7956709
8.859940529,10,-262.9982899
8.869785309,10,-263.0638519
8.879629135,10,-263.2084795
8.889473915,10,-263.2093637
8.899318695,10,-263.2492582
8.909162521,10,-263.3703617
8.919007301,10,NaN
8.928851128,10,-262.8975221
8.938695908,10,-263.3289936
8.948539734,10,NaN
8.958384514,10,-262.8503399
8.968229294,10,-263.0306288
8.97807312,10,-263.374461
8.9879179,10,NaN
8.997761726,10,NaN
9.007606506,10,NaN
9.017450333,10,NaN
9.027295113,10,NaN
9.037139893,10,NaN
9.046983719,10,NaN
9.056828499,10,NaN
9.066672325,10,NaN
9.076517105,10,NaN
9.086361885,10,NaN
9.096205711,10,NaN
9.106050491,10,NaN
9.115894318,10,NaN
9.125739098,10,NaN
9.135582924,10,NaN
9.145427704,10,NaN
9.155272484,10,NaN
9.16511631,10,NaN
9.17496109,10,NaN
9.184804916,10,NaN
9.194649696,10,NaN
9.204493523,10,NaN
9.214338303,10,NaN
9.224183083,10,NaN
9.234026909,10,NaN
9.243871689,10,NaN
9.253715515,10,NaN
9.263560295,10,NaN
9.273405075,10,NaN
9.283248901,10,NaN
9.293093681,10,NaN
9.302937508,10,NaN
9.312782288,10,NaN
9.322626114,10,NaN
9.332470894,10,NaN
9.342315674,10,NaN
9.3521595,10,NaN
9.36200428,10,NaN
9.371848106,10,NaN
9.381692886,10,-258.859014
9.391536713,10,-258.9151718
9.401381493,10,-258.9034097
9.411226273,10,NaN
9.421070099,10,NaN
9.430914879,10,NaN
9.440758705,10,-258.7524054
9.450603485,10,NaN
9.460448265,10,NaN
9.470292091,10,NaN
9.480136871,10,NaN
9.489980698,10,NaN
9.499825478,10,NaN
9.509669304,10,NaN
9.519514084,10,NaN
9.529358864,10,NaN
9.53920269,10,NaN
9.54904747,10,NaN
9.558891296,10,-255.9101162
9.568736076,10,NaN
9.578579903,10,NaN
9.588424683,10,NaN
9.598269463,10,NaN
9.608113289,10,NaN
9.617958069,10,NaN
9.627801895,10,NaN
9.637646675,10,NaN
9.647491455,10,NaN
9.657335281,10,-255.0485664
9.667180061,10,-255.053148
9.677023888,10,-255.139662
9.686868668,10,-255.2043131
9.696712494,10,NaN
